symbol	globalScore
GJB2	0.858985237
OTOF	0.850795742
MYO6	0.845566359
SLC26A4	0.844814248
MYO7A	0.838397261
COL11A2	0.833674277
KCNQ4	0.824199369
TECTA	0.823623715
UBR1	0.822264991
TMC1	0.820134779
TBC1D24	0.795307509
CDH23	0.793276552
COCH	0.789915287
EYA4	0.787604716
POU3F4	0.777433403
TRIOBP	0.77622718
MYH9	0.775797102
PNPT1	0.774626454
MYO15A	0.772477644
ILDR1	0.771545941
LOXHD1	0.771540737
USH1C	0.767285964
MYH14	0.762897592
SDHD	0.76260431
PDZD7	0.762035162
MARVELD2	0.755285484
MYO3A	0.754139733
DIAPH1	0.751698221
CLDN14	0.750792623
OTOA	0.750217372
GJB3	0.746940398
POU4F3	0.745903568
GJB6	0.744613112
PCDH15	0.744397064
GRXCR1	0.743761799
LRTOMT	0.742860025
TOMT	0.741826418
TPRN	0.740877006
TMIE	0.737015357
TMPRSS3	0.736489423
AIFM1	0.732797666
ACTG1	0.731316107
RDX	0.730690572
LHFPL5	0.729915181
CIB2	0.729529774
WHRN	0.725561654
GIPC3	0.72524201
ESRRB	0.723186381
WFS1	0.719368795
MPZL2	0.718547256
MSRB3	0.715080592
LMX1A	0.714252526
SLC26A5	0.713985468
SLC12A2	0.70856278
SIX1	0.708469846
STRC	0.707378561
OTOG	0.705147064
PJVK	0.705032876
PTPRQ	0.70486152
CEACAM16	0.70236902
KARS1	0.701062992
CABP2	0.697512215
SLC17A8	0.697237845
OTOGL	0.694645176
GSDME	0.687274661
CRYM	0.684405757
SMPX	0.677025588
SYNE4	0.675880843
EPS8L2	0.67384755
ESPN	0.672771221
PLS1	0.671832433
EPS8	0.671274251
MT-CO1	0.665141904
PRPS1	0.663638987
KCNJ10	0.663463258
GRHL2	0.658611539
CCDC50	0.658481161
GREB1L	0.655364147
KITLG	0.649152152
SERPINB6	0.647149484
CDC14A	0.645283359
DCDC2	0.644367602
S1PR2	0.641720237
P2RX2	0.640241765
OSBPL2	0.640124613
DMXL2	0.638649294
CLDN9	0.638281371
HGF	0.634569331
ATP2B2	0.632538901
RIPOR2	0.631925535
HOMER2	0.629680739
USH2A	0.629369024
AFG2B	0.628058872
WBP2	0.626644478
COL11A1	0.625917772
TNC	0.625566311
TRRAP	0.615823404
KLHDC7B	0.61399
MCM2	0.611243781
MT-ND1	0.608223015
MT-ND2	0.608058757
CLRN2	0.607859237
MET	0.606592341
MAP1B	0.60602874
GPSM2	0.604231219
GRXCR2	0.602259559
TRMU	0.59543421
FOXI1	0.582364946
USH1G	0.578510479
DNMT1	0.577397839
MT-RNR1	0.577095311
CLIC5	0.57176462
DIAPH3	0.571730749
C10orf105	0.568537924
DIABLO	0.567102331
LRRC51	0.56668107
ROR1	0.566414651
TMEM132E	0.56364255
TSPEAR	0.550929483
SCD5	0.546197961
GPRASP2	0.545746252
PDE1C	0.544397622
ELMOD3	0.534961707
NR3C1	0.534071131
MIR96	0.532308646
SLC44A4	0.532276535
ADCY1	0.53030325
SLC52A2	0.520621666
ANAPC15	0.519549833
NLRP3	0.510789326
ABCC1	0.510541307
MT-CO2	0.510248358
MIR4499	0.505308056
CRYL1	0.505308056
CLCC1	0.504858143
AKNAD1	0.504858143
SPNS2	0.498643127
BSND	0.498044786
NARS2	0.493450896
PPIP5K2	0.491731657
MT-CO3	0.489059375
TJP2	0.487584054
COL4A6	0.487477488
MT-ATP8	0.486829064
MT-ATP6	0.486829064
MT-ND5	0.486829064
LARS2	0.484970898
OPA1	0.479714651
MT-ND4	0.473524189
MT-ND4L	0.473524189
MT-ND3	0.473524189
CD164	0.473267536
ARHGEF28	0.472101053
ABHD12	0.47055831
CLCNKA	0.469376682
LAMTOR1	0.466424365
ADGRV1	0.463608529
MITF	0.462475549
